"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
1,decreasing,4194304,123456,1,parallel,2,441.145242
1,decreasing,4194304,123456,1,drake,1,539.566159
1,decreasing,4194304,123456,1,drake,2,577.997013
1,decreasing,16777216,123456,1,parallel,1,1820.430974
1,decreasing,16777216,123456,1,parallel,2,1836.545237
1,decreasing,16777216,123456,1,drake,1,2353.975488
1,decreasing,16777216,123456,1,drake,2,2305.073528
1,constant,1048576,123456,1,parallel,1,2.506480
1,constant,1048576,123456,1,parallel,2,2.517306
1,constant,1048576,123456,1,drake,1,5.159492
1,constant,1048576,123456,1,drake,2,5.008909
1,constant,4194304,123456,1,parallel,1,10.170846
1,constant,4194304,123456,1,parallel,2,11.233657
1,constant,4194304,123456,1,drake,1,19.631032
1,constant,4194304,123456,1,drake,2,23.312284
1,constant,16777216,123456,1,parallel,1,40.410993
1,constant,16777216,123456,1,parallel,2,47.636252
1,constant,16777216,123456,1,drake,1,76.893070
1,constant,16777216,123456,1,drake,2,79.346259
4,uniform-random,1048576,123456,1,parallel,1,91.272626
4,uniform-random,1048576,123456,1,parallel,2,94.364256
4,uniform-random,1048576,123456,1,drake,1,188.405486
4,uniform-random,1048576,123456,1,drake,2,197.831309
4,uniform-random,1048576,123456,2,parallel,1,89.476177
4,uniform-random,1048576,123456,2,parallel,2,90.442324
4,uniform-random,1048576,123456,2,drake,1,188.519820
4,uniform-random,1048576,123456,2,drake,2,190.204240
4,uniform-random,4194304,123456,1,parallel,1,359.564682
4,uniform-random,4194304,123456,1,parallel,2,339.942590
4,uniform-random,4194304,123456,1,drake,1,878.313651
4,uniform-random,4194304,123456,1,drake,2,891.198273
4,uniform-random,4194304,123456,2,parallel,1,479.262986
4,uniform-random,4194304,123456,2,parallel,2,476.604665
4,uniform-random,4194304,123456,2,drake,1,800.220456
4,uniform-random,4194304,123456,2,drake,2,868.128696
4,uniform-random,16777216,123456,1,parallel,1,2592.195361
4,uniform-random,16777216,123456,1,parallel,2,2505.311431
4,uniform-random,16777216,123456,1,drake,1,3597.195519
4,uniform-random,16777216,123456,1,drake,2,3388.227913
4,uniform-random,16777216,123456,2,parallel,1,1628.069250
4,uniform-random,16777216,123456,2,parallel,2,1622.593016
4,uniform-random,16777216,123456,2,drake,1,3383.298759
4,uniform-random,16777216,123456,2,drake,2,3393.867082
4,increasing,1048576,123456,1,parallel,1,55.707108
4,increasing,1048576,123456,1,parallel,2,52.568612
4,increasing,1048576,123456,1,drake,1,96.564680
4,increasing,1048576,123456,1,drake,2,98.316011
4,increasing,4194304,123456,1,parallel,1,186.997157
4,increasing,4194304,123456,1,parallel,2,185.328102
4,increasing,4194304,123456,1,drake,1,391.119215
4,increasing,4194304,123456,1,drake,2,396.436902
4,increasing,16777216,123456,1,parallel,1,684.304253
4,increasing,16777216,123456,1,parallel,2,724.751284
4,increasing,16777216,123456,1,drake,1,1740.383744
4,increasing,16777216,123456,1,drake,2,1792.819931
4,decreasing,1048576,123456,1,parallel,1,40.631699
4,decreasing,1048576,123456,1,parallel,2,43.834241
4,decreasing,1048576,123456,1,drake,1,126.147110
4,decreasing,1048576,123456,1,drake,2,125.263028
4,decreasing,4194304,123456,1,parallel,1,168.924406
4,decreasing,4194304,123456,1,parallel,2,172.979669
4,decreasing,4194304,123456,1,drake,1,538.685354
4,decreasing,4194304,123456,1,drake,2,548.511381
4,decreasing,16777216,123456,1,parallel,1,695.849202
4,decreasing,16777216,123456,1,parallel,2,700.738050
4,decreasing,16777216,123456,1,drake,1,2450.526660
4,decreasing,16777216,123456,1,drake,2,2346.977751
4,constant,1048576,123456,1,parallel,1,2.457659
4,constant,1048576,123456,1,parallel,2,2.498518
4,constant,1048576,123456,1,drake,1,5.032097
4,constant,1048576,123456,1,drake,2,5.262023
4,constant,4194304,123456,1,parallel,1,9.759955
4,constant,4194304,123456,1,parallel,2,10.524325
4,constant,4194304,123456,1,drake,1,22.351793
4,constant,4194304,123456,1,drake,2,19.985349
4,constant,16777216,123456,1,parallel,1,38.441122
4,constant,16777216,123456,1,parallel,2,42.069501
4,constant,16777216,123456,1,drake,1,80.339784
4,constant,16777216,123456,1,drake,2,81.445200
